"Year","Period","Geo Level","State","State ANSI","mkt","measure","other","col1","col2","Domain Category","Value"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","11.8"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","13.2"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","10.2"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","97"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","93"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","94"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","81"
2018,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (NITROGEN)","136,000"
2018,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","42,000"
2018,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (POTASH)","173,000"
2018,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","1"
2018,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","(Z)"
2018,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","1"
2018,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","14"
2018,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","4"
2018,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","17"
2018,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","18"
2018,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","17.6"
2018,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","18"
2018,"YEAR","STATE","FLORIDA","12","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","100"
2018,"YEAR","STATE","FLORIDA","12","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","97"
2018,"YEAR","STATE","FLORIDA","12","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","100"
